"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30061","should logout successfully","desktop","Mon Mar 16 11:10:23 UTC 2026","broken","Mon Mar 16 11:10:53 UTC 2026","Dashboard Tests (Authenticated)","dashboard.spec.js","",""
"","1339","should load login page @smoke","mobile","Mon Mar 16 11:10:30 UTC 2026","passed","Mon Mar 16 11:10:31 UTC 2026","Login Tests (No Auth)","login.spec.js","",""
"","5953","should register, login and create an article @smoke @article","desktop","Mon Mar 16 11:08:51 UTC 2026","passed","Mon Mar 16 11:08:57 UTC 2026","Conduit: Authenticated Flow @conduit","conduit-article.spec.js","",""
"","2380","should register a new user","mobile","Mon Mar 16 11:08:45 UTC 2026","passed","Mon Mar 16 11:08:47 UTC 2026","Conduit: Account Setup","conduit-setup.spec.js","",""
"","2920","should show error on invalid login","desktop","Mon Mar 16 11:10:56 UTC 2026","passed","Mon Mar 16 11:10:59 UTC 2026","Login Tests (No Auth)","login.spec.js","",""
"","1472","should verify feed tabs are visible on dashboard @smoke","mobile","Mon Mar 16 11:08:53 UTC 2026","failed","Mon Mar 16 11:08:54 UTC 2026","Dashboard Tests (Authenticated)","dashboard.spec.js","",""
"","30195","should logout successfully","mobile","Mon Mar 16 11:09:59 UTC 2026","broken","Mon Mar 16 11:10:29 UTC 2026","Dashboard Tests (Authenticated)","dashboard.spec.js","",""
"","1466","should create a new article using existing session","mobile","Mon Mar 16 11:08:42 UTC 2026","failed","Mon Mar 16 11:08:43 UTC 2026","Conduit: Authenticated Session","conduit-session.spec.js","",""
"","2084","should load login page @smoke","desktop","Mon Mar 16 11:10:54 UTC 2026","passed","Mon Mar 16 11:10:56 UTC 2026","Login Tests (No Auth)","login.spec.js","",""
"","11028","should register, login and create an article @smoke @article","mobile","Mon Mar 16 11:08:24 UTC 2026","passed","Mon Mar 16 11:08:35 UTC 2026","Conduit: Authenticated Flow @conduit","conduit-article.spec.js","",""
"","2280","should show error on invalid login","mobile","Mon Mar 16 11:10:32 UTC 2026","passed","Mon Mar 16 11:10:34 UTC 2026","Login Tests (No Auth)","login.spec.js","",""
"","3007","should register a new user","desktop","Mon Mar 16 11:09:08 UTC 2026","passed","Mon Mar 16 11:09:11 UTC 2026","Conduit: Account Setup","conduit-setup.spec.js","",""
"","1771","should verify feed tabs are visible on dashboard @smoke","desktop","Mon Mar 16 11:09:17 UTC 2026","failed","Mon Mar 16 11:09:19 UTC 2026","Dashboard Tests (Authenticated)","dashboard.spec.js","",""
"","1763","should create a new article using existing session","desktop","Mon Mar 16 11:09:05 UTC 2026","failed","Mon Mar 16 11:09:06 UTC 2026","Conduit: Authenticated Session","conduit-session.spec.js","",""
